taxon_name,common name,status,life_cycle,flower_color,bloom_start,bloom_end,jepson id,calrecnum,inat id,cch2_id,fna,calscape_cn,calipc,RPI ID,CRPR,CESA,FESA,SRank,GRank
Abies concolor,white fir,N,perennial,,,,11524,3,68087,58146,true,Balsam Fir
Abies magnifica var. magnifica,red fir,N,perennial,,,,71178,8,68085,58704,Abies magnifica,California Red Fir
Abronia latifolia,yellow sand verbena,N,,,,,11552,13,52618,111335,true,Sand Verbena
Abronia umbellata var. umbellata,beach sand verbena,N,,,,,75287,10748,53800,129214,true,Pink Sand Verbena
Abutilon theophrasti,velvet-leaf,X,,,,,11605,26,60214,8869,true
Acacia baileyana,Cootamundra wattle,X,,,,,11625,27,55345,8895,true,,acacia-baileyana-profile
Acacia cyclops,,X,,,,,11632,28,75249,8928,true,,acacia-cyclops-profile
Acacia dealbata,silver wattle,X,,,,,11633,29,53343,8930,true,,acacia-dealbata-profile
Acacia longifolia,golden wattle,X,,,,,11642,34,63379,8990,true,,acacia-longifolia-profile
Acacia melanoxylon,blackwood acacia,X,,,,,11646,36,53344,8999,true,,acacia-melanoxylon-profile
Acacia paradoxa,kangaroothorn,X,,,,,11654,37,75251,9021,true,,acacia-paradoxa-profile
Acacia redolens,,X,,,,,11661,8999,75254,9039,true
Acacia retinodes,everblooming acacia,X,,,,,11662,39,57040,9041,true
Acacia verticillata,star acacia,X,,,,,11680,40,57037,9092,true
Acaena californica,California sheepburr,N,,,,,11685,14543,61224,9107,,California Sheepburr
Acanthomintha lanceolata,Santa Clara thornmint,N,,,,,11726,50,61794,62120,,Santa Clara Thornmint,,71,4.2,,,S4,G4
Acer campestre,hedge maple,X,,,,,11732,8451,56193,9166
Acer glabrum var. glabrum,mountain maple,N,perennial,green,5,6,53496,11268,80298,44218,,Mountain Maple
Acer macrophyllum,big-leaf maple,N,,,,,11746,59,48227,9183,,Big Leaf Maple
Acer negundo,box elder,N,,,,,11747,9644,47726,9184,,Box Elder
Achillea millefolium,yarrow,N,,white,,,678,61,52821,201801,true,Common Yarrow
Achyrachaena mollis,blow-wives,N,,,,,703,85,56852,201807,true,Blow Wives
Acmispon americanus var. americanus,Spanish-clover,N,,"white,pink",5,10,91832,11269,57053,44261,true,Spanish Lotus
Acmispon brachycarpus,woolly trefoil,N,,,,,91705,11276,57047,201825,true,Foothill Deervetch
Acmispon denticulatus,meadow trefoil,N,,,,,91708,11279,60194,9219,true,Riverbar Birdsfoot Trefoil
Acmispon glaber var. glaber,California broom,N,,yellow,3,8,91825,11282,58900,222157,true,Common Deerweed
Acmispon junceus var. biolettii,,N,,yellow,4,7,91830,11290,80314,44280,true,Bioletti's Rush Lotus
Acmispon junceus var. junceus,,N,,yellow,4,7,91831,11291,80315,44281,true,Rush Broom
Acmispon parviflorus,least trefoil,N,,,,,91717,11299,57048,9234,true,Smallflower Lotus
